acc,precision,recall,auroc,repeat
0.7703654,0.7732096,0.77269715,0.8563652,1
0.7750587,0.7715092,0.759195,0.85728043,1
0.7783367,0.77447885,0.8013072,0.85873777,1
0.7635815,0.7888244,0.72418386,0.8468934,1
0.7652582,0.76450515,0.75932205,0.85264766,1
0.77103585,0.7888112,0.7475149,0.8552767,2
0.75427425,0.73951286,0.75850105,0.8489529,2
0.7551979,0.7762431,0.73464054,0.8464538,2
0.7619048,0.7855596,0.7248501,0.8455936,2
0.76693493,0.7631579,0.76677966,0.86210793,2
0.76600736,0.77123743,0.7640822,0.84887373,3
0.7693597,0.7620042,0.75988895,0.8554591,3
0.7763246,0.7882432,0.77124184,0.8596283,3
0.7575453,0.76355016,0.7508328,0.85052145,3
0.777666,0.7595908,0.80542374,0.8622415,3
0.76600736,0.7701532,0.76607025,0.8494748,4
0.76164937,0.76334774,0.73421234,0.849357,4
0.76693493,0.7826676,0.75555557,0.85601085,4
0.759222,0.75909996,0.76415724,0.84508216,4
0.75117373,0.7366043,0.77355933,0.84302723,4
0.7629903,0.7839943,0.7335984,0.85408914,5
0.75427425,0.73350924,0.7716863,0.8490865,5
0.76022804,0.7859649,0.73202616,0.8485127,5
0.7528504,0.75637585,0.7508328,0.8379408,5
0.7562039,0.74348956,0.7742373,0.84513897,5
0.7603084,0.7737931,0.7435388,0.8458824,6
0.7623198,0.75416666,0.7536433,0.8467777,6
0.7642522,0.7765886,0.7588235,0.8491094,6
0.7585513,0.76764905,0.7461692,0.8455468,6
0.76928234,0.7607687,0.7783051,0.8551087,6
0.7519276,0.77211607,0.72299534,0.84209824,7
0.75159234,0.7368065,0.7557252,0.84186566,7
0.76492286,0.7665595,0.779085,0.8495456,7
0.7598927,0.77013075,0.745503,0.83909667,7
0.7652582,0.75343364,0.78101695,0.8493519,7
0.7566208,0.7584158,0.7614314,0.8385247,8
0.74656385,0.7462257,0.7203331,0.8382552,8
0.7619048,0.78711486,0.73464054,0.8497124,8
0.75888664,0.80546874,0.6868754,0.85524124,8
0.7709591,0.77348065,0.75932205,0.8563992,8
0.7613141,0.76268953,0.76673293,0.84236014,9
0.7693597,0.7695061,0.7460097,0.8494247,9
0.7655936,0.7618148,0.79019606,0.84809345,9
0.75586855,0.7649075,0.74350435,0.8390942,9
0.7709591,0.778481,0.7505085,0.8580113,9
0.75293326,0.7576769,0.75215375,0.8382291,10
0.76768357,0.75581396,0.7668286,0.8501484,10
0.7629108,0.77197623,0.7633987,0.85529745,10
0.74647886,0.7709091,0.7061959,0.8370735,10
0.7655936,0.7679558,0.7538983,0.8484172,10
